PROV1;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;x
PROV4;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;x
PROV13;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;x
PROV29;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;x
PROV64;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;x
PROV100;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;x
PROV102;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;x
PROV263;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;x
PROV298;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;x
PROV300;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;x
PROV317;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;x
PROV329;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;x
PROV343;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;x
PROV349;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;x
PROV356;Väinalinn;Väinalinn;Väinalinn;Väinalinn;Väinalinn;Väinalinn;Väinalinn;Väinalinn;Väinalinn;Väinalinn;Väinalinn;Väinalinn;Väinalinn;x
PROV371;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;x
PROV393;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;x
PROV445;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;x
PROV454;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;x
PROV458;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;x
PROV467;Marsella;Marsella;Marsella;Marsella;Marsella;Marsella;Marsella;Marsella;Marsella;Marsella;Marsella;Marsella;Marsella;x
PROV575;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;x
PROV577;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;x
PROV619;Beç;Beç;Beç;Beç;Beç;Beç;Beç;Beç;Beç;Beç;Beç;Beç;Beç;x
PROV630;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;x
PROV631;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;x
PROV632;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;x
PROV636;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;x
PROV647;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;x
PROV654;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;x
PROV659;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;x
PROV674;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;Kyustendzha;x
PROV676;Kišineu;Kišineu;Kišineu;Kišineu;Kišineu;Kišineu;Kišineu;Kišineu;Kišineu;Kišineu;Kišineu;Kišineu;Kišineu;x
PROV689;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;x
PROV698;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;Klaipeda;x
PROV712;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;x
PROV719;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;x
PROV745;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;x
PROV748;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;x
PROV767;Morpurgo;Morpurgo;Morpurgo;Morpurgo;Morpurgo;Morpurgo;Morpurgo;Morpurgo;Morpurgo;Morpurgo;Morpurgo;Morpurgo;Morpurgo;x
PROV768;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;x
PROV778;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;x
PROV1044;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;x
PROV2533;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;x
PROV2538;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;x
